scenario_id,domain,task,assistant,speaker,turn_index,t_min,joy,trust,fear,anger,sadness,disgust,surprise,anticipation,positive,negative
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,1,0.0,0.0,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.0,0.3636363636363636,0.1818181818181818,0.1818181818181818
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,2,0.0,0.0416666666666666,0.125,0.125,0.0833333333333333,0.0833333333333333,0.0555555555555555,0.0555555555555555,0.0972222222222222,0.1805555555555555,0.1527777777777778
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,3,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,4,1.25,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.3,0.5,0.0
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,5,2.5,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,6,2.5,0.0212765957446808,0.0638297872340425,0.1702127659574468,0.0425531914893617,0.0851063829787234,0.0851063829787234,0.0212765957446808,0.1276595744680851,0.1914893617021276,0.1914893617021276
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,7,3.75,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.0
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,8,3.75,0.05,0.1,0.1,0.075,0.075,0.05,0.05,0.15,0.2,0.15
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,9,5.0,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0,0.1538461538461538,0.3846153846153846,0.1538461538461538
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,10,5.0,0.0625,0.1145833333333333,0.0625,0.0729166666666666,0.0625,0.0416666666666666,0.0520833333333333,0.1354166666666666,0.2708333333333333,0.125
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,11,6.25,0.1666666666666666,0.1666666666666666,0.0,0.1666666666666666,0.0,0.0,0.0,0.1666666666666666,0.1666666666666666,0.1666666666666666
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,12,6.25,0.0677966101694915,0.1694915254237288,0.1186440677966101,0.0338983050847457,0.0677966101694915,0.0169491525423728,0.0338983050847457,0.1186440677966101,0.2203389830508474,0.1525423728813559
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,13,7.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,14,7.5,0.074074074074074,0.1111111111111111,0.1111111111111111,0.037037037037037,0.037037037037037,0.037037037037037,0.037037037037037,0.2222222222222222,0.1851851851851851,0.1481481481481481
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,15,8.75,0.0769230769230769,0.1538461538461538,0.0769230769230769,0.0,0.0,0.0,0.0,0.1538461538461538,0.3846153846153846,0.1538461538461538
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,16,8.75,0.0634920634920634,0.1111111111111111,0.0634920634920634,0.0634920634920634,0.0634920634920634,0.0317460317460317,0.0634920634920634,0.1428571428571428,0.2698412698412698,0.1269841269841269
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,User,17,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 gpt,Education,Presentation anxiety support,ChatGPT,Chat GPT,18,10.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.5,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,1,0.0,0.0,0.0909090909090909,0.1818181818181818,0.0,0.0,0.0,0.0,0.3636363636363636,0.1818181818181818,0.1818181818181818
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,2,0.0,0.0625,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.125,0.1875,0.1875
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,3,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,4,0.5263157894736842,0.0833333333333333,0.0833333333333333,0.0833333333333333,0.0,0.0833333333333333,0.0,0.0833333333333333,0.1666666666666666,0.25,0.1666666666666666
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,5,1.0526315789473684,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,6,1.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,7,1.5789473684210529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,8,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,10,2.631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,11,2.6666666666666665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,12,3.1578947368421053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,13,3.684210526315789,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,14,4.2105263157894735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,15,3.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,16,4.7368421052631575,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,17,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,18,5.263157894736842,0.0,0.1875,0.0625,0.0,0.0625,0.0625,0.0625,0.125,0.375,0.0625
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,19,4.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,20,5.789473684210526,0.1,0.1,0.1,0.0,0.0,0.0,0.05,0.2,0.35,0.1
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,21,5.333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,22,6.315789473684211,0.1538461538461538,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.0769230769230769,0.1538461538461538,0.1538461538461538,0.0769230769230769
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,23,6.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.2,0.2
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,24,6.842105263157895,0.0555555555555555,0.1666666666666666,0.1111111111111111,0.0,0.0555555555555555,0.0,0.0,0.3333333333333333,0.1666666666666666,0.1111111111111111
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,25,6.666666666666666,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.2
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,26,7.368421052631579,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.0555555555555555,0.1111111111111111,0.3333333333333333,0.1111111111111111
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,27,7.333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,28,7.894736842105263,0.1666666666666666,0.1666666666666666,0.0833333333333333,0.0,0.0,0.0,0.0,0.25,0.25,0.0833333333333333
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,29,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,30,8.421052631578947,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,31,8.666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,32,8.947368421052632,0.08,0.16,0.12,0.04,0.04,0.04,0.0,0.2,0.16,0.16
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,33,9.333333333333332,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.3333333333333333,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,34,9.473684210526317,0.075,0.15,0.075,0.075,0.1,0.025,0.05,0.15,0.2,0.1
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,User,35,10.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
Task 2.2 Wysa,Education,Presentation anxiety support,Wysa,wysa,36,10.0,0.1666666666666666,0.125,0.1666666666666666,0.0833333333333333,0.0,0.0416666666666666,0.0,0.125,0.2083333333333333,0.0833333333333333
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,1,0.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0,0.2,0.2,0.3
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,2,0.0,0.0317460317460317,0.1269841269841269,0.0476190476190476,0.0158730158730158,0.0317460317460317,0.0,0.0317460317460317,0.3174603174603174,0.2857142857142857,0.1111111111111111
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,3,0.625,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,4,0.625,0.0256410256410256,0.1794871794871795,0.0512820512820512,0.0,0.0256410256410256,0.0,0.0512820512820512,0.3333333333333333,0.2564102564102564,0.0769230769230769
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,5,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,6,1.25,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,7,1.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,8,1.875,0.0303030303030303,0.0606060606060606,0.0454545454545454,0.0303030303030303,0.106060606060606,0.0454545454545454,0.0606060606060606,0.2575757575757575,0.1666666666666666,0.1969696969696969
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,9,2.5,0.0,0.0,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,10,2.5,0.0615384615384615,0.1076923076923077,0.0153846153846153,0.0,0.0923076923076923,0.0,0.0769230769230769,0.1538461538461538,0.3384615384615385,0.1538461538461538
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,11,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,12,3.125,0.125,0.0625,0.0,0.0,0.0,0.0,0.0,0.3125,0.375,0.125
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,User,13,3.75,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
Task 2.1 gpt,Healthcare,Sleep schedule support,ChatGPT,Chat GPT,14,3.75,0.02,0.08,0.06,0.0,0.08,0.0,0.04,0.16,0.34,0.22
